course_name,chapter_name,chapter_url,content
12 Factor App,Disposability,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Disposability,"12 Factor App Twelve Factor App methodology Disposability In this lesson, we explore the essential principle of disposability as outlined in the 12 Factor App methodology. Disposability means that application processes should be designed to be disposable—they can be started or stopped at a moment's notice. This ability is critical for dynamic scaling, where additional instances can be quickly provisioned as application load increases, and unnecessary processes can be terminated just as rapidly when the load decreases. Key Insight Disposability is not just about fast startups; it also emphasizes graceful shutdowns to handle ongoing work seamlessly. A core aspect of disposability is the process of graceful shutdown. When a process receives a termination signal (SIGTERM) from the process manager, it must not immediately exit but rather conclude its active operations to prevent abrupt disruption. This approach ensures users experience minimal interruption, even when scaling down resources. Graceful Shutdown in Docker Containers A practical example of disposability can be observed in Docker’s handling of container shutdowns. When executing the docker stop command, Docker sends a SIGTERM signal to the container to initiate a graceful shutdown. If the container does not respond within a certain grace period, Docker then sends a SIGKILL signal to forcefully terminate the process. This two-step mechanism ensures that the container has ample time to complete processing any active requests before termination. $ docker stop <container_id> The graceful shutdown process is especially crucial for applications handling multiple requests concurrently. By allowing the application to finish processing existing requests while stopping further intake, the risk of data loss or resource leaks is minimized. Practical Application For instance, consider a Flask application. It should be engineered to intercept the SIGTERM signal and begin a controlled shutdown process. This design ensures that any ongoing tasks are completed before the application terminates, thereby maintaining service continuity and protecting data integrity. Implementation Tip Ensure your application handles SIGTERM signals properly to prevent abrupt terminations that might lead to data loss or resource leaks. Design your termination routines to complete current transactions before shutting down completely. Watch Video Watch video content"
12 Factor App,Codebase,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Codebase,"12 Factor App Twelve Factor App methodology Codebase In this article, we will explore the 12-Factor App methodology while demonstrating a simple example built with Python and the Flask web framework. These principles are designed to guide the development of scalable, resilient, and maintainable applications. The 12 factors are as follows: Have one codebase. Explicitly declare and isolate dependencies. Store configuration in the environment. Treat backing services as attached resources. Strictly separate build and run stages. Execute the app as one or more stateless processes. Export services via port binding. Scale out via the process model. Maximize robustness with fast startup and graceful shutdown. Keep development, staging, and production as similar as possible. Treat logs as event streams. Run admin or management tasks as one-off processes. A Simple Flask Example We begin with a basic Flask application that displays a simple message when accessed via a browser. The entry point for our Flask app is the app.py file, which is responsible for handling all incoming and outgoing requests. Below is the code for our simple Flask app: from flask import Flask

app = Flask(__name__)

@app.route('/')
def welcomeToKodeKloud():
    return ""Welcome to KODEKLOUD!""

if __name__ == ""__main__"":
    app.run(host=""0.0.0.0"", debug=True) When you run this application and navigate to its URL in your browser, the homepage will display the message ""Welcome to KODEKLOUD!"". Note At this stage, the code is stored only on your local machine. The First Factor: One Codebase The first principle of the 12-Factor App methodology insists on maintaining a single codebase per application. This approach is essential as your user base expands and new features are added, especially when multiple developers are involved. Each developer works on their own local environment while committing changes to a central repository. Without a proper version control system, concurrent modifications by different developers could lead to conflicts. This is where Git becomes invaluable. Git enables concurrent contributions to the same codebase by facilitating operations like pulling the latest changes with the git pull command, making local updates, and pushing new commits using git push . The central repository is typically hosted on a cloud platform. For example, GitHub is a popular platform for hosting Git repositories, while GitLab and Bitbucket offer similar solutions. Managing Multiple Applications Consider starting with an initial web application. Over time, you might expand your system by adding services such as order processing or delivery functionalities. In the past, it was common to maintain a single codebase for all related applications. However, once multiple services are deployed, the architecture becomes distributed, and sharing one codebase across multiple applications violates the 12-Factor App principles. Each application should reside in its own codebase. Within a single codebase, you can still deploy multiple instances of your application across various environments (such as development, staging, and production). This strategy ensures that while each application maintains its isolated codebase, you can manage multiple deployments seamlessly. This structure not only keeps your development process organized but also promotes consistency across different environments, allowing for smoother transitions between development, testing, and production stages. Summary By following the principles outlined in the 12-Factor App methodology, you ensure that every aspect of your application—from a single codebase to distinct deployments across environments—is optimized for scalability and maintainability. Leveraging tools like Git further enhances collaborative development, helping you manage changes effectively as your application grows. For more insights on scalable application design and best practices, explore our additional resources and documentation linked below. Flask Documentation GitHub Guides 12 Factor App Watch Video Watch video content"
12 Factor App,Why 12 Factor app,https://notes.kodekloud.com/docs/12-Factor-App/Introduction/Why-12-Factor-app,"12 Factor App Introduction Why 12 Factor app Imagine having a brilliant idea and building an application to share that vision with the world. In the past, launching an application involved overcoming numerous obstacles such as long waiting periods for a dedicated server. Once acquired, that server was permanently tied to your application, and scaling meant adding more resources to that single machine. Often, session data was stored locally, meaning that if the server failed, user progress was lost, and users had to restart from scratch. Fast forward to today. High-growth SaaS startups can see user numbers rise from zero to millions in mere months. The speed of innovation now hinges on how quickly you can write, test, and deploy your code. Thanks to modern cloud platforms, provisioning and hosting resources can take minutes—or even seconds. With Platform-as-a-Service (PaaS) and serverless technologies, you simply write your code, push it, and see it live. These platforms boast uptimes of 99.999%, making downtime for maintenance, patching, or scaling nearly unacceptable. Note For optimal performance and reliability, your application must be architected to decouple from the underlying infrastructure. This means designing for portability and seamless operation across various environments—be it on-premises, Google Cloud Platform (GCP), Amazon Web Services (AWS), or Microsoft Azure—without necessitating changes to your source code. In earlier architectures, scaling was achieved by vertically enhancing a server, an approach that often required taking the application offline for upgrades. Modern applications, however, scale horizontally by adding more servers and spinning up additional instances. To succeed in today’s fast-paced cloud environments, your application needs to be consistent across development, testing, and production while remaining easily scalable. A decade ago, engineers at Heroku distilled a set of guiding principles for building modern applications, known today as the 12-Factor App. These twelve principles provide a blueprint for creating scalable, resilient, and maintainable applications. For additional details, refer to the 12factor.net website. Watch Video Watch video content"
12 Factor App,Build Release and Run,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Build-Release-and-Run,"12 Factor App Twelve Factor App methodology Build Release and Run In this article, we explore the key phases in our deployment process: Build, Release, and Run. A recent typo in the browser message highlighted the importance of separating these stages. While minor typos can be fixed with a simple commit, using a strict separation between build and run phases minimizes downtime in more complex environments. For example, here is the corrected version of our Flask application that fixes the typo: import os
from flask import Flask
from redis import Redis

app = Flask(__name__)
redisDb = Redis(host=os.getenv('HOST'), port=os.getenv('PORT'))

@app.route('/')
def welcomeToKodeKloud():
    redisDb.incr('visitorCount')
    visitCount = str(redisDb.get('visitorCount'), 'utf-8')
    return ""Welcome to KODEKLOUD! Visitor Count: "" + visitCount

if __name__ == ""__main__"":
    app.run(host=""0.0.0.0"", debug=True) After pushing this commit, visiting the application displays: Welcome to KODEKLOUD! Visitor Count: 9 Note For minor fixes, a direct commit may suffice. However, in complex environments where rapid deployment is critical, separating the build, release, and run phases is essential to maintain uptime. Adhering to the principles of the 12 Factor App methodology, our deployment process strictly separates these stages. The diagram below illustrates the separation between build, release, and run phases: Phases of the Deployment Cycle Build Phase In the build phase, developers write code using their favorite editors (such as VS Code or PyCharm). The source code is then transformed into an executable artifact—like a binary or a Docker image. Our process uses a Dockerfile along with the Docker build command to create the image for our application: $ docker build -t myapp:latest . Release Phase Once the build is ready, the executable artifact is bundled with environment-specific configuration files to form the release object. Each release is uniquely identifiable (using versions like v1, v2, v3, or even timestamps), ensuring that even a minor change, such as a typo fix, generates a new release. Consider this sample configuration: Configuration Variable Value Description HOST ""redis_db_dev"" Hostname of the Redis server PORT ""6379"" Port for connecting to Redis HOST = ""redis_db_dev""
PORT = ""6379"" Run Phase In the run phase, the same build artifact is deployed across various environments (development, testing, production) to ensure consistency. This uniformity makes it easier to roll back to previous releases or redeploy specific versions when necessary. The final running version of our application remains identical to the artifact built earlier: import os
from flask import Flask
from redis import Redis

app = Flask(__name__)
redisDb = Redis(host=os.getenv('HOST'), port=os.getenv('PORT'))

@app.route('/')
def welcomeToKodeKloud():
    redisDb.incr('visitorCount')
    visitCount = str(redisDb.get('visitorCount'), 'utf-8')
    return ""Welcome to KODEKLOUD! Visitor Count: "" + visitCount

if __name__ == ""__main__"":
    app.run(host=""0.0.0.0"", debug=True) Deploy the application using the same Docker build process: $ docker build -t myapp:latest . With the corresponding configuration: HOST = ""redis_db_dev""
PORT = ""6379"" Warning Ensure that environment configurations are correctly managed during the release phase to avoid deployment issues. Misconfiguration at this stage can lead to unexpected application behavior. By delineating the build, release, and run phases, we can store build artifacts in a dedicated repository, allowing seamless rollback or redeployment of specific versions. This methodology not only streamlines software management but also significantly enhances deployment consistency and reliability. For further reading on this methodology, refer to the 12 Factor App documentation . Watch Video Watch video content"
12 Factor App,Admin Processes,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Admin-Processes,"12 Factor App Twelve Factor App methodology Admin Processes In this lesson, we delve into the final principle of the 12-Factor App methodology—admin processes. This principle emphasizes the importance of isolating one-off or periodic administrative tasks from the main application processes to ensure that these tasks run on an identical setup as the production environment. Currently, our application leverages a Redis database to store the count of total visitors. However, there may be instances where the counter becomes inaccurate or requires a reset. In such cases, it is crucial to execute a one-time administrative task without disrupting the running application. Key Principle Administrative tasks—such as resetting visitor counts, executing database migrations, or correcting specific user records—must be performed as isolated, one-off processes. This approach enables automation, scalability, and reproducibility while maintaining a production-like environment. For example, to reset the visitor count stored in Redis, you can execute an admin script. In our setup, this might involve launching an additional Docker container that connects to the same Redis database and runs the reset script: import os
from redis import Redis

# Establish a connection to the Redis database using environment variables for host and port.
redis_db = Redis(host=os.getenv('HOST'), port=os.getenv('PORT'))
redis_db.set('visitorCount', 0) The code above demonstrates how to connect to the Redis database and reset the visitorCount to 0. Running tasks like this as isolated, one-off processes ensures that they are automated, scalable, and reproducible, in alignment with the 12-Factor App principle of keeping admin tasks separate from long-running application processes. Summary The admin processes principle advocates for executing any administrative task—whether it is a one-time operation or a periodic task—in isolation. This guarantees that these operations remain automated, scalable, and reproducible, while mirroring the configuration of the primary application environment. Watch Video Watch video content"
12 Factor App,Logs,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Logs,"12 Factor App Twelve Factor App methodology Logs In this article, we explore the logging mechanism used by our application and how it handles various output events like server startup, port listening, HTTP requests, and error reporting. Logs are crucial for monitoring system activities and troubleshooting issues. When the application starts, it produces logs detailing the server startup sequence, including server addresses and port numbers. Every HTTP request served is recorded, as illustrated in the example below. * Serving Flask app 'main'
* Debug mode: on
* Running on all addresses (0.0.0.0)
* Running on http://127.0.0.1:8080
Press CTRL+C to quit
* Restarting with stat
* Debugger is active!
* Debugger PIN: 547-019-069
127.0.0.1 - - [25/Feb/2023 16:19:24] ""GET / HTTP/1.1"" 200 -
127.0.0.1 - - [25/Feb/2023 16:19:24] ""GET /favicon.ico HTTP/1.1"" 404 -
127.0.0.1 - - [25/Feb/2023 16:19:26] ""GET / HTTP/1.1"" 200 -
127.0.0.1 - - [25/Feb/2023 16:19:27] ""GET / HTTP/1.1"" 200 -
127.0.0.1 - - [25/Feb/2023 16:19:27] ""GET / HTTP/1.1"" 200 -
127.0.0.1 - - [25/Feb/2023 16:19:27] ""GET / HTTP/1.1"" 200 - These logs not only capture standard operations of the server but also record errors and other significant events, making them indispensable for diagnosing issues when failures occur. Logging Storage Approaches Traditionally, applications write logs to local files. However, in containerized environments, this method presents challenges: Volatility: A container may terminate at any time, causing the loss of local log files. Inflexibility: Tying your logging system to a specific file system location restricts scalability and portability. An alternative is to send logs to a centralized logging server using systems such as Fluentd, the ELK Stack, or Splunk. While centralized logging enhances management and analysis, directly integrating your application with a specific logging provider is not recommended. Best Practice Always design your application so that it remains agnostic to any logging backend, which improves flexibility, scalability, and ease of maintenance. Example: Sending Logs via Fluentd The following Python code demonstrates how logs can be sent to a Fluentd logging server. Note, however, that this pattern directly couples your application to Fluentd, which is discouraged: from fluent import sender

# Configure logger for remote logging via Fluentd
logger = sender.FluentSender('app', host='host', port=24224)

# Emit a log event with details
logger.emit('follow', {'from': 'userA', 'to': 'userB'}) According to the 11th principle of the 12 Factor App methodology, applications should not be responsible for log storage or routing. Instead, all logs should be directed to standard output or written as structured JSON to a local file. This practice allows an external agent to collect and forward logs to a centralized repository, where they can be queried and analyzed efficiently. Centralized logging solutions like the ELK Stack and Splunk are designed to ingest and process structured log data, making log analysis faster and more effective. By decoupling the logging mechanism from your application, you ensure that your system remains agile and well-suited for cloud-native and containerized environments. Watch Video Watch video content"
12 Factor App,Backing Services,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Backing-Services,"12 Factor App Twelve Factor App methodology Backing Services Backing services are external resources that your application depends on. These services can range from caching solutions like Redis to email providers, object storage services, and more. For instance, we integrated Redis as a caching service in our application to store the visitor count. Other typical backing services include: SMTP services for sending emails S3 integrations for storing images Managed databases and search engines Your application should be designed to interact with these backing services as attached resources. This means that regardless of whether the service is hosted locally, on a managed cloud platform, or as a cloud-native service, the integration remains consistent. The application code should remain unchanged when switching between different deployment environments. Key Point The concept of treating backing services as attached resources enables seamless scaling and flexibility. Simply update configuration details to point your application to a new instance without modifying any code logic. Redis as a Backing Service Example Consider Redis, which we use as a caching layer: Local Instance: You might run Redis on your local machine during development. Cloud Deployment: In a production environment, Redis might be hosted on a cloud provider like AWS or Azure. Managed Service: Alternatively, you could use a managed Redis service offered by various vendors. Despite these variations, your application logic remains the same. You only need to update the connection settings to point to the chosen Redis instance. Implementation Hint Ensure that all your backing services are configurable via environment variables or external configurations. This decouples service specifics from your application code, enhancing portability and maintainability. Why This Architecture Matters By decoupling applications from the specific implementations of backing services, you gain flexibility and resilience in your deployment. Whether scaling up in cloud environments or switching service providers, your application's core functionality remains intact. For more detailed insights and integration guidelines, explore comprehensive examples and further documentation on working with backing services. Additional Resources Kubernetes Basics Kubernetes Documentation Docker Hub Terraform Registry This approach not only simplifies deployments but also enhances the maintainability of your system by following best practices for service-oriented design. Watch Video Watch video content"
12 Factor App,Dependencies,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Dependencies,"12 Factor App Twelve Factor App methodology Dependencies In this article, we explore the second rule of the 12-Factor App methodology: explicitly declaring and isolating dependencies. To illustrate this concept, we use the popular Python web framework, Flask. Before writing any application code, you must install Flask in your local development environment. For example: $ pip install flask Below is a simple Flask application (app.py): from flask import Flask

app = Flask(__name__)

@app.route('/')
def welcomeToKodeKloud():
    return ""Welcome to KODEKLOUD!""

if __name__ == ""__main__"":
    app.run(host=""0.0.0.0"", debug=True) As your application grows, you may need to integrate additional third-party libraries. The 12-Factor App approach dictates that you must not rely on the implicit presence of system-wide packages. In other words, you cannot assume that dependencies like Flask will already be installed on the system where your application executes. They must be explicitly declared and isolated. A common Python practice is to list dependencies in a file named requirements.txt . This file should include both package names and specific version numbers. For example: flask==2.0.0 Specifying version numbers is crucial to ensure consistency across various environments such as development, staging, and production. Installing the dependencies is as simple as running: $ pip install -r requirements.txt This command ensures that every dependency listed in requirements.txt —including the specified version of Flask—is installed uniformly. Tip When developing multiple applications on a single machine, use isolated environments to avoid dependency conflicts. Virtual environments ensure each application manages its own version of every dependency. Python's virtual environments solve version conflicts by isolating dependencies for each application. This isolation is imperative when one app requires one version of Flask while another requires a different version. Combining the use of requirements.txt with virtual environments guarantees that your explicit dependency packages are consistent across development, staging, and production. In some cases, your application might depend on system-level tools (such as the curl command) that fall outside Python’s dependency management. In these instances, leveraging a platform like Docker can be highly effective. Docker containers offer a self-contained environment that ensures all necessary tools and configurations are present. Below is an example Dockerfile that packages the Flask application along with its dependencies into a Docker container: FROM python:3.10-alpine

WORKDIR /kodekloud-twelve-factor-app

COPY requirements.txt /kodekloud-twelve-factor-app

RUN pip install -r requirements.txt --no-cache-dir

COPY . /kodekloud-twelve-factor-app

CMD python app.py This Dockerfile accomplishes the following steps: Creates a Docker image based on the Python 3.10 Alpine base image. Sets the working directory to /kodekloud-twelve-factor-app . Copies the requirements.txt file into the working directory. Installs the dependencies specified in requirements.txt , without caching. Copies the remaining application code into the image. Defines the command to run the application. After building the Docker image with the appropriate Docker build command, you can run your application using the Docker run command. If you're new to Docker, be sure to check out our free Docker Training Course for the Absolute Beginner on KodeKloud. This interactive course offers hands-on labs and an immersive learning environment where you can practice with real systems and servers. Happy coding! Watch Video Watch video content"
12 Factor App,Port Binding,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Port-Binding,"12 Factor App Twelve Factor App methodology Port Binding Accessing our Flask web application is as straightforward as entering the URL along with the port number into your web browser. In our example, the application runs on port 5000. When accessed successfully, a welcome message along with a visitor count is displayed. By default, the Python Flask framework listens on port 5000. However, when running multiple instances of the application on the same server, each instance can bind to a unique port (such as 5001, 5002, etc.). In multi-service environments, different services are assigned distinct ports—for instance, Redis typically operates on port 6379. Binding an application to a specific port allows it to export HTTP as a service and listen directly for incoming requests. In contrast to traditional web applications that depend on an external web server, the 12-Factor App methodology encourages creating self-contained applications with built-in web servers. This design approach not only simplifies deployment but also enhances scalability. Note For environments that host multiple services simultaneously, ensuring each service is bound to a unique port is crucial for preventing conflicts and maintaining smooth communication between services. Watch Video Watch video content"
12 Factor App,Concurrency,https://notes.kodekloud.com/docs/12-Factor-App/Twelve-Factor-App-methodology/Concurrency,"12 Factor App Twelve Factor App methodology Concurrency In this lesson, we explore the critical concept of concurrency, which is the eighth factor in the 12 Factor App methodology. Up to now, we have containerized our application and executed it as a Docker container, running a single process capable of serving multiple users concurrently. While this setup works well under moderate demand, it has limitations under increased load. Scalability Considerations Scaling strategies come in two flavors: vertical and horizontal. Vertical scaling adds more resources to a single server, but this approach can lead to downtime and has inherent resource limits. Modern deployment strategies favor horizontal scaling, where additional servers are provisioned rapidly to run multiple instances of the application simultaneously. A load balancer then distributes incoming user requests across these instances, ensuring smooth performance even during peak demand. For horizontal scaling to be effective, your application must be designed as an independent, stateless service. In line with the 12 Factor App principles, processes are treated as first-class citizens. Instead of scaling up a single instance with more resources, the application should scale out by running multiple instances concurrently. Key Benefits Avoids the single point of failure inherent in vertical scaling. Improves fault tolerance and overall system reliability. Facilitates easier deployment and maintenance of application instances. In the next lesson, we will delve deeper into how these principles impact application processes and discuss practical strategies for designing applications that can scale horizontally. For more information, explore: Kubernetes Basics Kubernetes Documentation Docker Hub Terraform Registry Watch Video Watch video content"
